RECALL WITH RANK			1			2			3

data/output/stft.txt 		[0.6701058201058194, 	0.6981481481481473, 	0.702910052910052]
data/output/mel.txt 		[0.46706349206349196, 	0.50026455026455, 	0.5096560846560844] 
data/output/cqt.txt 		[0.09417989417989417, 	0.11785714285714283, 	0.13650793650793647] 

data/output/disk.txt 		[0.6701058201058194, 	0.6981481481481473, 	0.702910052910052]    
data/output/diamond.txt 	[0.6653439153439147, 	0.6890211640211632, 	0.7030423280423272]
data/output/square.txt 		[0.3712962962962961, 	0.3808201058201056, 	0.3998677248677246] 
    
data/output/uniform-true.txt 	[0.6701058201058194, 	0.6981481481481473, 	0.702910052910052]
data/output/uniform-false.txt 	[0.7212962962962954, 	0.744841269841269, 	0.7494708994708987]

data/output/neigh-5.txt 	[0.3379629629629629, 	0.34272486772486765, 	0.3570105820105819]    
data/output/neigh-10.txt 	[0.6701058201058194, 	0.6981481481481473, 	0.702910052910052] 
data/output/neigh-20.txt 	[0.6317460317460312, 	0.6648148148148141, 	0.6835978835978829]

data/output/gap-0.txt 		[0.6794973544973537, 	0.6982804232804225, 	0.7170634920634912]   
data/output/gap-50.txt 		[0.6701058201058194, 	0.6981481481481473, 	0.702910052910052]  
data/output/gap-100.txt 	[0.6746031746031739, 	0.6841269841269834, 	0.6935185185185178]

data/output/t-200-400.txt 	[0.6698412698412691, 	0.6888888888888881, 	0.702910052910052]
data/output/t-200-200.txt 	[0.6701058201058194, 	0.6981481481481473, 	0.702910052910052]
data/output/t-400-200.txt 	[0.6839947089947083, 	0.6935185185185178, 	0.7076719576719568]	

data/output/final.txt 		[0.716798941798941, 	0.7310846560846552, 	0.7403439153439144]
