RECALL WITH RANK			1				2		3

data/output/stft.txt 		[0.4259259259259255, 	0.46296296296296247, 	0.46296296296296247]        
data/output/mel.txt 		[0.3055555555555553, 	0.31481481481481455, 	0.3240740740740738]
data/output/cqt.txt 		[0.07407407407407407, 	0.08333333333333333, 	0.1111111111111111]

data/output/disk.txt 		[0.4259259259259255, 	0.46296296296296247, 	0.46296296296296247]        
data/output/diamond.txt 	[0.4259259259259255, 	0.43518518518518473, 	0.4537037037037032]      
data/output/square.txt 		[0.009259259259259259, 	0.009259259259259259, 	0.009259259259259259] 
 
data/output/uniform-true.txt 	[0.4259259259259255, 	0.46296296296296247, 	0.46296296296296247]
data/output/uniform-false.txt 	[0.5092592592592587, 	0.5277777777777773, 	0.5370370370370366] 

data/output/neigh-5.txt 	[0.009259259259259259, 	0.009259259259259259, 	0.009259259259259259] 
data/output/neigh-10.txt 	[0.4259259259259255, 	0.46296296296296247, 	0.46296296296296247]    
data/output/neigh-20.txt 	[0.444444444444444, 	0.46296296296296247, 	0.48148148148148096]  
   
data/output/gap-0.txt 		[0.43518518518518473, 	0.4537037037037032, 	0.4722222222222217]        
data/output/gap-50.txt 		[0.4259259259259255, 	0.46296296296296247, 	0.46296296296296247]      
data/output/gap-100.txt 	[0.444444444444444, 	0.444444444444444, 	0.4537037037037032]

data/output/t-200-400.txt 	[0.444444444444444, 	0.444444444444444, 	0.46296296296296247]      
data/output/t-200-200.txt 	[0.4259259259259255, 	0.46296296296296247, 	0.46296296296296247]   
data/output/t-400-200.txt 	[0.4537037037037032, 	0.4537037037037032, 	0.46296296296296247] 

data/output/final.txt 		[0.4907407407407402, 	0.4907407407407402, 	0.5092592592592587]
